timestamp,count,bicycle,car,motorcycle,bus,train,truck,total_detections
1756891471.138768,243,0,6,0,1,0,1,8
1756891471.333795,243,0,7,0,1,0,1,9
1756891471.565574,243,0,5,0,1,0,1,7
1756891471.765565,243,0,7,0,1,0,1,9
1756891471.959884,243,0,6,0,1,0,1,8
1756891472.163831,243,0,6,0,1,0,1,8
1756891472.3643389,243,0,6,0,1,0,1,8
1756891472.573427,243,0,5,0,2,0,2,9
1756891472.768822,243,0,5,0,1,0,2,8
1756891472.965724,243,0,6,0,1,0,2,9
1756891473.166085,243,0,6,0,1,0,1,8
1756891473.3780181,243,0,6,0,1,0,1,8
1756891473.628345,243,0,6,0,1,0,1,8
1756891473.839838,243,0,5,0,1,0,1,7
1756891474.046447,243,0,5,0,1,0,1,7
1756891474.2621682,243,0,5,0,1,0,1,7
1756891474.476288,243,0,5,0,1,0,1,7
1756891474.675908,243,0,5,0,1,0,1,7
1756891474.8738701,243,0,7,0,1,0,1,9
1756891475.1245189,243,0,7,0,1,0,1,9
1756891475.3257668,243,0,7,0,1,0,1,9
1756891475.719785,243,0,7,0,1,0,1,9
1756891475.925907,243,0,7,0,1,0,1,9
1756891476.129022,244,0,6,0,1,0,1,8
1756891476.3738189,245,0,6,0,1,0,1,8
1756891476.615963,246,0,6,0,1,0,1,8
1756891476.824945,247,0,6,0,1,0,1,8
1756891477.033346,248,0,7,0,1,0,1,9
1756891477.23805,249,0,7,0,1,0,1,9
1756891477.435099,250,0,7,0,1,0,1,9
1756891477.642093,251,0,5,0,1,0,1,7
1756891477.8669682,252,0,5,0,1,0,1,7
1756891478.086526,253,0,5,0,1,0,1,7
1756891478.2975318,254,0,6,0,1,0,1,8
1756891478.519785,255,0,6,0,1,0,1,8
1756891478.728301,257,0,5,0,1,0,1,7
1756891478.926734,259,0,5,0,1,0,1,7
1756891479.129153,261,0,5,0,2,0,1,8
1756891479.32398,263,0,6,0,2,0,1,9
1756891479.527183,265,0,6,0,2,0,1,9
1756891479.7582238,267,0,6,0,2,0,1,9
1756891479.990443,269,0,5,0,2,0,1,8
1756891480.187563,271,0,4,0,2,0,1,7
1756891480.395425,273,0,5,0,2,0,1,8
1756891480.602366,274,0,5,0,2,0,1,8
1756891480.801186,275,0,5,0,2,0,1,8
1756891481.002251,276,0,4,0,2,0,1,7
1756891481.252545,277,0,4,0,2,0,1,7
1756891481.46195,278,0,4,0,2,0,1,7
1756891481.662375,278,0,4,0,2,0,1,7
1756891481.907722,278,0,5,0,2,0,1,8
1756891482.108002,278,0,6,0,2,0,1,9
1756891482.3166752,278,0,6,0,2,0,1,9
1756891482.5340748,278,0,6,0,2,0,1,9
1756891482.7399712,278,0,6,0,2,0,1,9
1756891482.9420621,278,0,6,0,2,0,1,9
1756891483.152315,278,0,5,0,2,0,1,8
1756891483.352562,278,0,6,0,2,0,1,9
1756891483.553034,278,0,6,0,2,0,1,9
1756891483.7495759,278,0,6,0,2,0,1,9
1756891484.010381,278,0,6,0,2,0,1,9
1756891484.22733,278,0,6,0,2,0,1,9
1756891484.432248,278,0,6,0,2,0,1,9
1756891484.641963,278,0,5,0,2,0,1,8
1756891484.847635,278,0,7,0,2,0,1,10
1756891485.06378,278,0,6,0,2,0,1,9
1756891485.2882,278,0,6,0,2,0,1,9
1756891485.4994502,278,0,7,0,2,0,1,10
1756891485.713835,278,0,7,0,2,0,1,10
1756891485.9868622,278,0,7,0,2,0,1,10
1756891486.1865091,278,0,7,0,2,0,1,10
1756891486.3860369,278,0,7,0,2,0,1,10
1756891486.594076,278,0,7,0,2,0,1,10
1756891486.8070168,278,0,6,0,2,0,1,9
1756891487.025022,278,0,6,0,2,0,1,9
1756891487.253237,278,0,6,0,2,0,1,9
1756891487.532096,278,0,6,0,2,0,1,9
1756891487.746185,278,0,6,0,2,0,1,9
1756891487.970134,278,0,8,0,2,0,1,11
1756891488.214137,278,0,7,0,2,0,1,10
1756891488.4249659,278,0,6,0,2,0,2,10
1756891488.628578,278,0,7,0,2,0,1,10
1756891488.831118,278,0,8,0,2,0,1,11
1756891489.05604,278,0,8,0,2,0,1,11
1756891489.254209,278,0,8,0,2,0,1,11
1756891489.452818,278,0,9,0,2,0,1,12
1756891489.669881,278,0,8,0,2,0,1,11
1756891489.873217,278,0,9,0,2,0,1,12
1756891490.102602,278,0,6,0,2,0,1,9
1756891490.3110552,278,0,7,0,2,0,1,10
1756891490.51579,278,0,8,0,2,0,1,11
1756891490.719641,278,0,7,0,2,0,1,10
1756891490.928791,278,0,7,0,2,0,1,10
1756891491.1339252,278,0,7,0,2,0,1,10
1756891491.334305,278,0,7,0,2,0,1,10
1756891491.5373042,278,0,8,0,2,0,1,11
1756891491.734036,279,0,8,0,2,0,1,11
1756891491.935692,280,0,9,0,2,0,1,12
1756891492.156204,281,0,9,0,2,0,1,12
1756891492.360918,282,0,9,0,2,0,1,12
1756891492.617673,283,0,9,0,2,0,1,12
1756891492.817656,284,0,7,0,2,0,1,10
1756891493.021575,285,0,7,0,2,0,1,10
1756891493.218257,286,0,9,0,2,0,1,12
1756891493.419494,287,0,8,0,1,0,1,10
1756891493.6187541,289,0,9,0,1,0,1,11
1756891493.8134131,290,0,8,0,2,0,1,11
1756891494.015593,292,0,10,0,2,0,1,13
1756891494.2332768,294,0,9,0,2,0,1,12
1756891494.4304209,296,0,9,0,2,0,1,12
1756891494.638263,298,0,9,0,2,0,1,12
1756891494.848716,300,0,10,0,2,0,1,13
1756891495.061513,302,0,9,0,2,0,1,12
1756891495.261039,304,0,10,0,1,0,1,12
1756891495.460306,306,0,9,0,2,0,1,12
1756891495.667094,307,0,9,0,2,0,1,12
1756891495.8873038,307,0,10,0,1,0,1,12
1756891496.094938,307,0,10,0,2,0,1,13
1756891496.334584,307,0,9,0,2,0,1,12
1756891496.5455701,308,0,8,0,2,0,1,11
1756891496.755887,309,0,9,0,2,0,1,12
1756891496.9582982,310,0,9,0,2,0,1,12
1756891497.16297,311,0,8,0,2,0,1,11
1756891497.360685,312,0,8,0,2,0,1,11
1756891497.569553,313,0,8,0,2,0,1,11
1756891497.7660742,314,0,8,0,2,0,1,11
1756891497.9652858,315,0,9,0,2,0,1,12
1756891498.1771362,316,0,9,0,2,0,1,12
1756891498.431925,317,0,9,0,2,0,1,12
1756891498.648749,318,0,9,0,2,0,1,12
1756891498.85333,319,0,9,0,2,0,1,12
1756891499.0634198,320,0,8,0,2,0,1,11
1756891499.359593,321,0,8,0,2,0,1,11
1756891499.586559,322,0,8,0,2,0,1,11
1756891499.799695,323,0,8,0,2,0,1,11
1756891500.029345,324,0,8,0,2,0,1,11
1756891500.237521,324,0,8,0,2,0,1,11
1756891500.482889,324,0,8,0,2,0,1,11
1756891500.681568,324,0,8,0,2,0,1,11
1756891500.898305,324,0,9,0,2,0,1,12
1756891501.114368,324,0,8,0,2,0,1,11
1756891501.328543,324,0,8,0,2,0,1,11
1756891501.537579,324,0,9,0,2,0,1,12
1756891501.7489028,324,0,8,0,2,0,2,12
1756891501.9564428,324,0,8,0,2,0,2,12
1756891502.1584692,324,0,9,0,2,0,2,13
1756891502.3816519,324,0,9,0,2,0,1,12
1756891502.6438642,324,0,10,0,2,0,1,13
1756891502.8705652,324,0,10,0,2,0,0,12
